name,html_url,lines_of_code
chatwoot,https://github.com/chatwoot/chatwoot,137185
liquid,https://github.com/Shopify/liquid,5658
hazelcast,https://github.com/hazelcast/hazelcast,398141
twenty,https://github.com/twentyhq/twenty,47060
zammad,https://github.com/zammad/zammad,276640
laravel-crm,https://github.com/krayin/laravel-crm,9345
crowd.dev,https://github.com/CrowdDotDev/crowd.dev,38209
fider,https://github.com/getfider/fider,43373
helpy,https://github.com/helpyio/helpy,90540
markprompt,https://github.com/motifland/markprompt,21228
go-fly,https://github.com/taoshihan1991/go-fly,13986
code-with-engineering-playbook,https://github.com/microsoft/code-with-engineering-playbook,67610
cloudprober,https://github.com/google/cloudprober,18221
wppconnect,https://github.com/wppconnect-team/wppconnect,53038
laudspeaker,https://github.com/laudspeaker/laudspeaker,11512
commercejs-nextjs-demo-store,https://github.com/chec/commercejs-nextjs-demo-store,29398
crm-application,https://github.com/oroinc/crm-application,12573
otrs,https://github.com/OTRS/otrs,557689
rakam-api,https://github.com/rakam-io/rakam-api,27933
CustomerManager,https://github.com/DanWahlin/CustomerManager,16505
Azure-Network-Security,https://github.com/Azure/Azure-Network-Security,17408
grouparoo,https://github.com/grouparoo/grouparoo,57893
free-for-dev,https://github.com/ripienaar/free-for-dev,7359
netdata,https://github.com/netdata/netdata,174518
act,https://github.com/nektos/act,9109
gitea,https://github.com/go-gitea/gitea,276592
kong,https://github.com/Kong/kong,31822
sentry,https://github.com/getsentry/sentry,445123
cli,https://github.com/httpie/cli,6906
dokku,https://github.com/dokku/dokku,13912
90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,303391
docker_practice,https://github.com/yeasy/docker_practice,11875
TDengine,https://github.com/taosdata/TDengine,344668
lens,https://github.com/lensapp/lens,699426
jenkins,https://github.com/jenkinsci/jenkins,155357
goreplay,https://github.com/buger/goreplay,18128
watchtower,https://github.com/containrrr/watchtower,17202
wtf,https://github.com/wtfutil/wtf,50102
argo-cd,https://github.com/argoproj/argo-cd,86687
sops,https://github.com/getsops/sops,144110
kubesphere,https://github.com/kubesphere/kubesphere,70859
apisix,https://github.com/apache/apisix,36826
onedev,https://github.com/theonedev/onedev,209143
walle-web,https://github.com/meolu/walle-web,26844
lynis,https://github.com/CISOfy/lynis,8188
kubeshark,https://github.com/kubeshark/kubeshark,26998
gitflow,https://github.com/nvie/gitflow,5251
kops,https://github.com/kubernetes/kops,398996
mockery,https://github.com/mockery/mockery,21394
graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,88143
or-tools,https://github.com/google/or-tools,1271130
cachecloud,https://github.com/sohutv/cachecloud,52885
einops,https://github.com/arogozhnikov/einops,6055
Valetudo,https://github.com/Hypfer/Valetudo,220095
rundeck,https://github.com/rundeck/rundeck,198360
Stirling-PDF,https://github.com/Frooodle/Stirling-PDF,47212
imutils,https://github.com/PyImageSearch/imutils,7046
git-sim,https://github.com/initialcommit-com/git-sim,6983
incubator-streampark,https://github.com/apache/incubator-streampark,56707
ndarray,https://github.com/rust-ndarray/ndarray,6593
vimium-c,https://github.com/gdh1995/vimium-c,23201
cruise-control,https://github.com/linkedin/cruise-control,13808
RedEye,https://github.com/cisagov/RedEye,16705
gogs,https://github.com/gogs/gogs,206371
n8n,https://github.com/n8n-io/n8n,135229
og-aws,https://github.com/open-guides/og-aws,7680
istio,https://github.com/istio/istio,260319
NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,16037
vault,https://github.com/hashicorp/vault,282654
nacos,https://github.com/alibaba/nacos,56672
eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,661091
Hystrix,https://github.com/Netflix/Hystrix,9799
envoy,https://github.com/envoyproxy/envoy,228021
redisson,https://github.com/redisson/redisson,24320
memos,https://github.com/usememos/memos,13195
keycloak,https://github.com/keycloak/keycloak,474828
corefx,https://github.com/dotnet/corefx,236710
aws-cli,https://github.com/aws/aws-cli,185965
changedetection.io,https://github.com/dgtlmoon/changedetection.io,7123
zuul,https://github.com/Netflix/zuul,5447
amplication,https://github.com/amplication/amplication,355073
eureka,https://github.com/Netflix/eureka,12429
clip-as-service,https://github.com/jina-ai/clip-as-service,28749
Customer_Satisfaction_Analysis,https://github.com/CarryChang/Customer_Satisfaction_Analysis,121232
umbraco-contentment,https://github.com/leekelleher/umbraco-contentment,8857
3D_Path_Planning,https://github.com/realkushagrakhare/3D_Path_Planning,6019
customer-satisfaction-mlops,https://github.com/ayush714/customer-satisfaction-mlops,15420
cpsolver,https://github.com/UniTime/cpsolver,27306
vse-sim,https://github.com/electionscience/vse-sim,18295
AutoShiftPlanner,https://github.com/betaiotazeta/AutoShiftPlanner,25535
user-simulation-t5,https://github.com/kimdanny/user-simulation-t5,15472
user-satisfaction-simulation,https://github.com/sunnweiwei/user-satisfaction-simulation,10640
annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,150357
forem,https://github.com/forem/forem,1504700
PaLM-rlhf-pytorch,https://github.com/lucidrains/PaLM-rlhf-pytorch,35949
SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,14671
alive-progress,https://github.com/rsalmei/alive-progress,160790
trlx,https://github.com/CarperAI/trlx,47878
SXNews,https://github.com/dsxNiubility/SXNews,34899
implicit,https://github.com/benfred/implicit,7875
honggfuzz,https://github.com/google/honggfuzz,192209
pr-agent,https://github.com/Codium-ai/pr-agent,82803
argilla,https://github.com/argilla-io/argilla,693581
httptoolkit,https://github.com/httptoolkit/httptoolkit,7482
AlertKit,https://github.com/sparrowcode/AlertKit,11069
App,https://github.com/Expensify/App,914531
RunJS,https://github.com/lukehaas/RunJS,104970
HapticKey,https://github.com/niw/HapticKey,6645
teammates,https://github.com/TEAMMATES/teammates,250945
python-control,https://github.com/python-control/python-control,17215
